DS1921:  A334C00001896221
Download at: 8/18/2004 1:11:08 PM

Mission State
-------------
Mission is in progress
Sample rate: 30 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  07/27/2004  12:01 
Mission Start delay: 0 minute(s)
Mission Samples: 1059
Device total samples: 48554
Temperatures displayed in: (Celsius)
High Threshold: 40.0°C
Low Threshold: -40.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Wednesday  08/18/2004  13:11:34 
Current PC Time: Wednesday  08/18/2004  13:12:35 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)

Temperature Alarms
------------------
Format: [(HIGH/LOW), Time/Date range]
none

Temperature Histogram
---------------------
Format: [Temp Range , Count] (Celsius)
 07/29/2004  18:01 , -15.0°C
 07/29/2004  18:31 , -15.0°C
 07/29/2004  19:01 , -14.5°C
 07/29/2004  19:31 , -15.0°C
 07/29/2004  20:01 , -15.5°C
 07/29/2004  20:31 , -14.5°C
 07/29/2004  21:01 , -12.0°C
 07/29/2004  21:31 , -16.0°C
 07/29/2004  22:01 , -14.5°C
 07/29/2004  22:31 , -15.0°C
 07/29/2004  23:01 , -16.0°C
 07/29/2004  23:31 , -14.5°C
 07/30/2004  00:01 , -15.0°C
 07/30/2004  00:31 , -16.0°C
 07/30/2004  01:01 , -14.5°C
 07/30/2004  01:31 , -15.5°C
 07/30/2004  02:01 , -16.0°C
 07/30/2004  02:31 , -14.5°C
 07/30/2004  03:01 , -15.5°C
 07/30/2004  03:31 , -16.0°C
 07/30/2004  04:01 , -14.5°C
 07/30/2004  04:31 , -16.0°C
 07/30/2004  05:01 , -15.0°C
 07/30/2004  05:31 , -15.0°C
 07/30/2004  06:01 , -16.0°C
 07/30/2004  06:31 , -14.5°C
 07/30/2004  07:01 , -15.0°C
 07/30/2004  07:31 , -16.0°C
 07/30/2004  08:01 , -14.5°C
 07/30/2004  08:31 , -16.0°C
 07/30/2004  09:01 , -15.5°C
 07/30/2004  09:31 , -15.0°C
 07/30/2004  10:01 , -16.5°C
 07/30/2004  10:31 , -14.5°C
 07/30/2004  11:01 , -15.5°C
 07/30/2004  11:31 , -15.5°C
 07/30/2004  12:01 , -15.5°C
 07/30/2004  12:31 , -16.0°C
 07/30/2004  13:01 , -14.5°C
 07/30/2004  13:31 , -15.0°C
 07/30/2004  14:01 , -16.0°C
 07/30/2004  14:31 , -14.0°C
 07/30/2004  15:01 , -15.0°C
 07/30/2004  15:31 , -15.5°C
 07/30/2004  16:01 , -14.0°C
 07/30/2004  16:31 , -15.5°C
 07/30/2004  17:01 , -16.0°C
 07/30/2004  17:31 , -14.5°C
 07/30/2004  18:01 , -15.5°C
 07/30/2004  18:31 , -15.0°C
 07/30/2004  19:01 , -15.0°C
 07/30/2004  19:31 , -16.0°C
 07/30/2004  20:01 , -14.5°C
 07/30/2004  20:31 , -15.0°C
 07/30/2004  21:01 , -16.0°C
 07/30/2004  21:31 , -14.5°C
 07/30/2004  22:01 , -15.0°C
 07/30/2004  22:31 , -16.0°C
 07/30/2004  23:01 , -15.0°C
 07/30/2004  23:31 , -15.0°C
 07/31/2004  00:01 , -16.0°C
 07/31/2004  00:31 , -14.5°C
 07/31/2004  01:01 , -15.0°C
 07/31/2004  01:31 , -16.0°C
 07/31/2004  02:01 , -14.5°C
 07/31/2004  02:31 , -15.5°C
 07/31/2004  03:01 , -16.5°C
 07/31/2004  03:31 , -14.5°C
 07/31/2004  04:01 , -17.0°C
 07/31/2004  04:31 , -14.5°C
 07/31/2004  05:01 , -16.0°C
 07/31/2004  05:31 , -15.5°C
 07/31/2004  06:01 , -16.5°C
 07/31/2004  06:31 , -15.5°C
 07/31/2004  07:01 , -15.5°C
 07/31/2004  07:31 , -16.5°C
 07/31/2004  08:01 , -14.5°C
 07/31/2004  08:31 , -16.0°C
 07/31/2004  09:01 , -15.0°C
 07/31/2004  09:31 , -15.5°C
 07/31/2004  10:01 , -16.0°C
 07/31/2004  10:31 , -14.5°C
 07/31/2004  11:01 , -15.5°C
 07/31/2004  11:31 , -15.5°C
 07/31/2004  12:01 , -14.5°C
 07/31/2004  12:31 , -15.5°C
 07/31/2004  13:01 , -15.0°C
 07/31/2004  13:31 , -15.0°C
 07/31/2004  14:01 , -16.0°C
 07/31/2004  14:31 , -14.5°C
 07/31/2004  15:01 , -16.0°C
 07/31/2004  15:31 , -15.5°C
 07/31/2004  16:01 , -14.5°C
 07/31/2004  16:31 , -16.0°C
 07/31/2004  17:01 , -14.5°C
 07/31/2004  17:31 , -14.5°C
 07/31/2004  18:01 , -15.5°C
 07/31/2004  18:31 , -14.5°C
 07/31/2004  19:01 , -14.5°C
 07/31/2004  19:31 , -15.5°C
 07/31/2004  20:01 , -14.5°C
 07/31/2004  20:31 , -14.5°C
 07/31/2004  21:01 , -15.5°C
 07/31/2004  21:31 , -14.5°C
 07/31/2004  22:01 , -15.0°C
 07/31/2004  22:31 , -16.5°C
 07/31/2004  23:01 , -14.5°C
 07/31/2004  23:31 , -16.0°C
 08/01/2004  00:01 , -15.5°C
 08/01/2004  00:31 , -15.0°C
 08/01/2004  01:01 , -16.0°C
 08/01/2004  01:31 , -14.5°C
 08/01/2004  02:01 , -15.0°C
 08/01/2004  02:31 , -16.5°C
 08/01/2004  03:01 , -14.5°C
 08/01/2004  03:31 , -15.5°C
 08/01/2004  04:01 , -16.0°C
 08/01/2004  04:31 , -15.0°C
 08/01/2004  05:01 , -16.0°C
 08/01/2004  05:31 , -14.5°C
 08/01/2004  06:01 , -15.5°C
 08/01/2004  06:31 , -16.0°C
 08/01/2004  07:01 , -15.0°C
 08/01/2004  07:31 , -16.5°C
 08/01/2004  08:01 , -14.5°C
 08/01/2004  08:31 , -15.5°C
 08/01/2004  09:01 , -15.5°C
 08/01/2004  09:31 , -14.5°C
 08/01/2004  10:01 , -16.5°C
 08/01/2004  10:31 , -14.5°C
 08/01/2004  11:01 , -15.5°C
 08/01/2004  11:31 , -16.0°C
 08/01/2004  12:01 , -14.5°C
 08/01/2004  12:31 , -16.0°C
 08/01/2004  13:01 , -15.0°C
 08/01/2004  13:31 , -15.0°C
 08/01/2004  14:01 , -16.0°C
 08/01/2004  14:31 , -14.5°C
 08/01/2004  15:01 , -15.0°C
 08/01/2004  15:31 , -16.0°C
 08/01/2004  16:01 , -14.0°C
 08/01/2004  16:31 , -15.0°C
 08/01/2004  17:01 , -16.5°C
 08/01/2004  17:31 , -14.5°C
 08/01/2004  18:01 , -15.5°C
 08/01/2004  18:31 , -15.0°C
 08/01/2004  19:01 , -14.5°C
 08/01/2004  19:31 , -16.0°C
 08/01/2004  20:01 , -36.0°C
 08/01/2004  20:31 , 45.0°C
 08/01/2004  21:01 , -40.0°C
 08/01/2004  21:31 , 24.0°C
 08/01/2004  22:01 , -39.5°C
 08/01/2004  22:31 , -40.0°C
 08/01/2004  23:01 , -40.0°C
 08/01/2004  23:31 , -40.0°C
 08/02/2004  00:01 , -40.0°C
 08/02/2004  00:31 , -16.0°C
 08/02/2004  01:01 , -12.0°C
 08/02/2004  01:31 , 87.5°C
 08/02/2004  02:01 , 87.5°C
 08/02/2004  02:31 , 87.5°C
 08/02/2004  03:01 , 87.5°C
 08/02/2004  03:31 , 87.5°C
 08/02/2004  04:01 , 87.5°C
 08/02/2004  04:31 , 87.5°C
 08/02/2004  05:01 , 87.5°C
 08/02/2004  05:31 , 87.5°C
 08/02/2004  06:01 , 87.5°C
 08/02/2004  06:31 , 87.5°C
 08/02/2004  07:01 , 87.5°C
 08/02/2004  07:31 , 87.5°C
 08/02/2004  08:01 , 87.5°C
 08/02/2004  08:31 , 87.5°C
 08/02/2004  09:01 , 87.5°C
 08/02/2004  09:31 , 87.5°C
 08/02/2004  10:01 , 87.5°C
 08/02/2004  10:31 , 87.5°C
 08/02/2004  11:01 , 87.5°C
 08/02/2004  11:31 , 87.5°C
 08/02/2004  12:01 , -16.0°C
 08/02/2004  12:31 , -14.5°C
 08/02/2004  13:01 , -15.0°C
 08/02/2004  13:31 , -16.0°C
 08/02/2004  14:01 , -14.0°C
 08/02/2004  14:31 , -15.0°C
 08/02/2004  15:01 , -16.0°C
 08/02/2004  15:31 , -14.0°C
 08/02/2004  16:01 , -15.5°C
 08/02/2004  16:31 , -15.5°C
 08/02/2004  17:01 , -14.5°C
 08/02/2004  17:31 , -15.5°C
 08/02/2004  18:01 , -15.0°C
 08/02/2004  18:31 , -14.5°C
 08/02/2004  19:01 , -16.0°C
 08/02/2004  19:31 , -14.5°C
 08/02/2004  20:01 , -15.0°C
 08/02/2004  20:31 , -16.0°C
 08/02/2004  21:01 , -14.5°C
 08/02/2004  21:31 , -15.0°C
 08/02/2004  22:01 , -16.0°C
 08/02/2004  22:31 , -14.0°C
 08/02/2004  23:01 , -15.5°C
 08/02/2004  23:31 , -15.5°C
 08/03/2004  00:01 , -14.5°C
 08/03/2004  00:31 , -16.0°C
 08/03/2004  01:01 , -14.5°C
 08/03/2004  01:31 , -15.5°C
 08/03/2004  02:01 , -16.0°C
 08/03/2004  02:31 , -14.5°C
 08/03/2004  03:01 , -16.0°C
 08/03/2004  03:31 , -14.5°C
 08/03/2004  04:01 , -15.0°C
 08/03/2004  04:31 , -16.0°C
 08/03/2004  05:01 , -14.5°C
 08/03/2004  05:31 , -16.0°C
 08/03/2004  06:01 , -14.5°C
 08/03/2004  06:31 , -15.0°C
 08/03/2004  07:01 , -16.0°C
 08/03/2004  07:31 , -14.5°C
 08/03/2004  08:01 , -16.0°C
 08/03/2004  08:31 , -14.5°C
 08/03/2004  09:01 , -15.0°C
 08/03/2004  09:31 , -16.0°C
 08/03/2004  10:01 , -14.0°C
 08/03/2004  10:31 , -15.0°C
 08/03/2004  11:01 , -16.0°C
 08/03/2004  11:31 , -14.0°C
 08/03/2004  12:01 , -15.5°C
 08/03/2004  12:31 , -15.5°C
 08/03/2004  13:01 , -14.5°C
 08/03/2004  13:31 , -15.5°C
 08/03/2004  14:01 , -15.0°C
 08/03/2004  14:31 , -14.5°C
 08/03/2004  15:01 , -16.0°C
 08/03/2004  15:31 , -14.5°C
 08/03/2004  16:01 , -15.0°C
 08/03/2004  16:31 , -16.0°C
 08/03/2004  17:01 , -14.5°C
 08/03/2004  17:31 , -15.0°C
 08/03/2004  18:01 , -16.0°C
 08/03/2004  18:31 , -13.5°C
 08/03/2004  19:01 , -15.0°C
 08/03/2004  19:31 , -16.0°C
 08/03/2004  20:01 , -14.0°C
 08/03/2004  20:31 , -15.0°C
 08/03/2004  21:01 , -16.0°C
 08/03/2004  21:31 , -14.0°C
 08/03/2004  22:01 , -15.0°C
 08/03/2004  22:31 , -16.0°C
 08/03/2004  23:01 , -14.5°C
 08/03/2004  23:31 , -15.0°C
 08/04/2004  00:01 , -16.0°C
 08/04/2004  00:31 , -14.0°C
 08/04/2004  01:01 , -15.5°C
 08/04/2004  01:31 , -16.0°C
 08/04/2004  02:01 , -15.5°C
 08/04/2004  02:31 , -16.0°C
 08/04/2004  03:01 , -14.5°C
 08/04/2004  03:31 , -16.0°C
 08/04/2004  04:01 , -15.0°C
 08/04/2004  04:31 , -15.0°C
 08/04/2004  05:01 , -16.5°C
 08/04/2004  05:31 , -14.5°C
 08/04/2004  06:01 , -16.0°C
 08/04/2004  06:31 , -15.0°C
 08/04/2004  07:01 , -15.0°C
 08/04/2004  07:31 , -16.5°C
 08/04/2004  08:01 , -14.5°C
 08/04/2004  08:31 , -16.0°C
 08/04/2004  09:01 , -15.0°C
 08/04/2004  09:31 , -14.5°C
 08/04/2004  10:01 , -16.0°C
 08/04/2004  10:31 , -14.5°C
 08/04/2004  11:01 , -15.0°C
 08/04/2004  11:31 , -16.0°C
 08/04/2004  12:01 , -14.5°C
 08/04/2004  12:31 , -15.0°C
 08/04/2004  13:01 , -16.0°C
 08/04/2004  13:31 , -14.5°C
 08/04/2004  14:01 , -15.0°C
 08/04/2004  14:31 , -16.0°C
 08/04/2004  15:01 , -14.0°C
 08/04/2004  15:31 , -15.5°C
 08/04/2004  16:01 , -16.0°C
 08/04/2004  16:31 , -14.5°C
 08/04/2004  17:01 , -15.5°C
 08/04/2004  17:31 , -15.5°C
 08/04/2004  18:01 , -14.0°C
 08/04/2004  18:31 , -15.5°C
 08/04/2004  19:01 , -16.0°C
 08/04/2004  19:31 , -14.5°C
 08/04/2004  20:01 , -15.5°C
 08/04/2004  20:31 , -15.5°C
 08/04/2004  21:01 , -14.0°C
 08/04/2004  21:31 , -15.5°C
 08/04/2004  22:01 , -15.5°C
 08/04/2004  22:31 , -14.5°C
 08/04/2004  23:01 , -16.0°C
 08/04/2004  23:31 , -15.0°C
 08/05/2004  00:01 , -14.5°C
 08/05/2004  00:31 , -16.0°C
 08/05/2004  01:01 , -14.5°C
 08/05/2004  01:31 , -15.0°C
 08/05/2004  02:01 , -16.0°C
 08/05/2004  02:31 , -14.5°C
 08/05/2004  03:01 , -15.5°C
 08/05/2004  03:31 , -16.5°C
 08/05/2004  04:01 , -14.5°C
 08/05/2004  04:31 , -15.5°C
 08/05/2004  05:01 , -16.0°C
 08/05/2004  05:31 , -14.5°C
 08/05/2004  06:01 , -16.0°C
 08/05/2004  06:31 , -15.0°C
 08/05/2004  07:01 , -15.5°C
 08/05/2004  07:31 , -16.5°C
 08/05/2004  08:01 , -14.5°C
 08/05/2004  08:31 , -16.0°C
 08/05/2004  09:01 , -15.5°C
 08/05/2004  09:31 , -15.0°C
 08/05/2004  10:01 , -16.0°C
 08/05/2004  10:31 , -14.5°C
 08/05/2004  11:01 , -15.0°C
 08/05/2004  11:31 , -16.0°C
 08/05/2004  12:01 , -14.5°C
 08/05/2004  12:31 , -15.0°C
 08/05/2004  13:01 , -16.0°C
 08/05/2004  13:31 , -14.5°C
 08/05/2004  14:01 , -15.5°C
 08/05/2004  14:31 , -16.0°C
 08/05/2004  15:01 , -14.0°C
 08/05/2004  15:31 , -15.5°C
 08/05/2004  16:01 , -16.0°C
 08/05/2004  16:31 , -14.5°C
 08/05/2004  17:01 , -15.5°C
 08/05/2004  17:31 , -16.0°C
 08/05/2004  18:01 , -14.5°C
 08/05/2004  18:31 , -15.5°C
 08/05/2004  19:01 , -16.0°C
 08/05/2004  19:31 , -14.5°C
 08/05/2004  20:01 , -15.5°C
 08/05/2004  20:31 , -16.0°C
 08/05/2004  21:01 , -14.0°C
 08/05/2004  21:31 , -16.0°C
 08/05/2004  22:01 , -15.0°C
 08/05/2004  22:31 , -14.5°C
 08/05/2004  23:01 , -16.0°C
 08/05/2004  23:31 , -15.5°C
 08/06/2004  00:01 , -14.5°C
 08/06/2004  00:31 , -19.0°C
 08/06/2004  01:01 , -15.0°C
 08/06/2004  01:31 , -15.0°C
 08/06/2004  02:01 , -16.5°C
 08/06/2004  02:31 , -15.0°C
 08/06/2004  03:01 , -15.5°C
 08/06/2004  03:31 , -18.5°C
 08/06/2004  04:01 , -14.5°C
 08/06/2004  04:31 , -15.5°C
 08/06/2004  05:01 , -18.0°C
 08/06/2004  05:31 , -14.5°C
 08/06/2004  06:01 , -16.0°C
 08/06/2004  06:31 , -15.5°C
 08/06/2004  07:01 , -15.0°C
 08/06/2004  07:31 , -19.5°C
 08/06/2004  08:01 , -15.0°C
 08/06/2004  08:31 , -15.5°C
 08/06/2004  09:01 , -20.0°C
 08/06/2004  09:31 , -14.5°C
 08/06/2004  10:01 , -16.0°C
 08/06/2004  10:31 , -16.0°C
 08/06/2004  11:01 , -14.5°C
 08/06/2004  11:31 , -16.0°C
 08/06/2004  12:01 , -15.5°C
 08/06/2004  12:31 , -14.5°C
 08/06/2004  13:01 , -18.0°C
 08/06/2004  13:31 , -15.0°C
 08/06/2004  14:01 , -15.0°C
 08/06/2004  14:31 , -19.0°C
 08/06/2004  15:01 , -15.0°C
 08/06/2004  15:31 , -15.0°C
 08/06/2004  16:01 , -19.5°C
 08/06/2004  16:31 , -14.5°C
 08/06/2004  17:01 , -15.0°C
 08/06/2004  17:31 , -20.0°C
 08/06/2004  18:01 , -14.5°C
 08/06/2004  18:31 , -15.5°C
 08/06/2004  19:01 , -20.0°C
 08/06/2004  19:31 , -14.5°C
 08/06/2004  20:01 , -15.0°C
 08/06/2004  20:31 , -19.5°C
 08/06/2004  21:01 , -14.5°C
 08/06/2004  21:31 , -15.5°C
 08/06/2004  22:01 , -20.5°C
 08/06/2004  22:31 , -14.5°C
 08/06/2004  23:01 , -15.5°C
 08/06/2004  23:31 , -20.0°C
 08/07/2004  00:01 , -14.5°C
 08/07/2004  00:31 , -17.0°C
 08/07/2004  01:01 , -21.0°C
 08/07/2004  01:31 , -14.5°C
 08/07/2004  02:01 , -17.5°C
 08/07/2004  02:31 , -21.0°C
 08/07/2004  03:01 , -14.5°C
 08/07/2004  03:31 , -18.5°C
 08/07/2004  04:01 , -21.0°C
 08/07/2004  04:31 , -14.5°C
 08/07/2004  05:01 , -20.5°C
 08/07/2004  05:31 , -18.5°C
 08/07/2004  06:01 , -15.0°C
 08/07/2004  06:31 , -20.5°C
 08/07/2004  07:01 , -15.0°C
 08/07/2004  07:31 , -18.0°C
 08/07/2004  08:01 , -20.5°C
 08/07/2004  08:31 , -15.0°C
 08/07/2004  09:01 , -20.5°C
 08/07/2004  09:31 , -15.0°C
 08/07/2004  10:01 , -15.0°C
 08/07/2004  10:31 , -20.5°C
 08/07/2004  11:01 , -15.0°C
 08/07/2004  11:31 , -15.0°C
 08/07/2004  12:01 , -20.0°C
 08/07/2004  12:31 , -15.0°C
 08/07/2004  13:01 , -18.5°C
 08/07/2004  13:31 , -20.5°C
 08/07/2004  14:01 , -14.5°C
 08/07/2004  14:31 , -20.0°C
 08/07/2004  15:01 , -19.5°C
 08/07/2004  15:31 , -15.0°C
 08/07/2004  16:01 , -20.0°C
 08/07/2004  16:31 , -17.5°C
