DS1921:  8034C000003E6421
Download at: 7/27/2004 3:44:36 PM

Mission State
-------------
Mission is in progress
Sample rate: 10 minute(s)
Roll-Over Enabled: no
Roll-Over Occured: n/a
Mission Start time:  07/18/2004  15:07 
Mission Start delay: 0 minute(s)
Mission Samples: 1300
Device total samples: 64429
Temperatures displayed in: (Celsius)
High Threshold: 85.0°C
Low Threshold: 0.0°C
Temperature threshold alarm state: Conditional(none)  Alarm(none)
Current Real-Time Clock from DS1921: Tuesday  07/27/2004  15:44:58 
Current PC Time: Tuesday  07/27/2004  15:46:03 
Time Alarm mode: Alarm weekly
Alarm Time: Sunday 00:00:00
Alarm Time state: Conditional(yes)  Alarm(yes)


Format: [Time/Date , Temperature] (Celsius)
 07/22/2004  12:07 , 48.0°C
 07/22/2004  12:17 , 48.0°C
 07/22/2004  12:27 , 48.0°C
 07/22/2004  12:37 , 48.0°C
 07/22/2004  12:47 , 48.0°C
 07/22/2004  12:57 , 47.5°C
 07/22/2004  13:07 , 47.0°C
 07/22/2004  13:17 , 47.5°C
 07/22/2004  13:27 , 48.0°C
 07/22/2004  13:37 , 48.5°C
 07/22/2004  13:47 , 48.0°C
 07/22/2004  13:57 , 47.5°C
 07/22/2004  14:07 , 47.0°C
 07/22/2004  14:17 , 47.5°C
 07/22/2004  14:27 , 49.0°C
 07/22/2004  14:37 , 48.5°C
 07/22/2004  14:47 , 48.0°C
 07/22/2004  14:57 , 48.0°C
 07/22/2004  15:07 , 47.5°C
 07/22/2004  15:17 , 47.5°C
 07/22/2004  15:27 , 47.5°C
 07/22/2004  15:37 , 48.5°C
 07/22/2004  15:47 , 48.0°C
 07/22/2004  15:57 , 48.0°C
 07/22/2004  16:07 , 47.5°C
 07/22/2004  16:17 , 47.5°C
 07/22/2004  16:27 , 47.5°C
 07/22/2004  16:37 , 47.5°C
 07/22/2004  16:47 , 48.0°C
 07/22/2004  16:57 , 48.5°C
 07/22/2004  17:07 , 48.0°C
