Plate,Name,Row,Column,Micro g N,Delta Air,Micro g C,Delta PDB
2007-awp,H6,H,6,93.5,9.07,336.8,-17.42
2007-awp,H7,H,7,113.2,9.10,413.4,-17.03
2007-awp,H8,H,8,98.1,8.97,356.1,-16.11
2007-awp,H9,H,9,111.7,8.88,421.3,-15.68
2007-awp,H10,H,10,97.0,8.67,374.6,-15.23
2007-awp,H11,H,11,105.1,8.55,394.6,-15.93
2007-awp,H12,H,12,96.1,8.80,360.7,-14.83
2007-awp,CHECK,Z,21,99.9,1.18,394.2,-24.46
2007-awp,CHECK,Z,21,101.2,1.58,396.8,-24.41
2007-bxm,CHECK14,Z,21,98.7,1.36,393.4,-24.44
2007-bxm,CHECK,Z,21,101.2,1.26,396.2,-24.44
2007-bxm,CHECK,Z,21,100.1,1.31,386.6,-24.42
2007-bxm,Novak A1,A,1,81.5,8.51,314.2,-15.32
2007-bxm,Tray 2007BXM A2,A,2,99.6,8.77,378.0,-15.06
2007-bxm,A3,A,3,119.3,8.80,416.2,-12.57
2007-bxm,A4,A,4,118.9,9.18,415.5,-14.86
2007-bxm,A5,A,5,117.4,9.08,410.6,-14.86
2007-bxm,A6,A,6,124.8,8.99,429.3,-13.39
2007-bxm,A7,A,7,135.5,9.05,468.3,-15.50
2007-bxm,A8,A,8,123.0,8.39,426.2,-15.78
2007-bxm,A9,A,9,103.3,7.89,366.0,-11.91
2007-bxm,A10,A,10,128.6,7.93,451.0,-13.39
2007-bxm,A11,A,11,94.8,8.31,338.0,-13.13
2007-bxm,A12,A,12,109.5,8.22,385.0,-12.62
2007-bxm,CHECK,Z,22,99.4,1.37,390.7,-24.40
2007-bxm,CHECK,Z,22,95.9,1.50,389.3,-24.37
2007-bxm,B1,B,1,111.9,7.90,401.1,-13.72
2007-bxm,B2,B,2,111.3,10.42,400.9,-16.84
2007-bxm,B3,B,3,112.1,9.43,418.4,-16.15
2007-bxm,B4,B,4,99.9,8.82,359.7,-17.15
2007-bxm,B5,B,5,101.9,8.77,366.9,-17.14
2007-bxm,B6,B,6,130.3,9.90,479.1,-16.89
2007-bxm,B7,B,7,92.0,9.12,334.4,-16.45
2007-bxm,B8,B,8,97.2,8.96,359.5,-16.27
2007-bxm,B9,B,9,90.8,7.87,344.4,-17.92
2007-bxm,B10,B,10,97.5,8.81,363.0,-17.39
2007-bxm,B11,B,11,97.8,8.22,368.4,-17.73
2007-bxm,B12,B,12,111.5,7.88,418.6,-17.38
2007-bxm,CHECK,Z,23,97.6,1.42,393.5,-24.43
2007-bxm,CHECK,Z,23,103.4,1.47,390.7,-24.43
2007-bxm,C1,C,1,110.2,7.89,407.1,-17.66
2007-bxm,C2,C,2,123.4,12.13,425.8,-15.21
2007-bxm,C3,C,3,133.9,12.83,470.2,-16.14
2007-bxm,C4,C,4,133.2,12.89,467.8,-16.00
2007-bxm,C5,C,5,129.9,12.09,441.5,-16.28
2007-bxm,C6,C,6,117.6,11.70,428.9,-15.78
2007-bxm,C7,C,7,128.2,11.13,461.8,-16.07
2007-bxm,C8,C,8,114.1,11.01,422.2,-16.51
2007-bxm,C9,C,9,142.1,10.98,513.5,-16.29
2007-bxm,C10,C,10,118.6,10.93,434.2,-16.34
2007-bxm,C11,C,11,108.2,10.40,414.6,-17.27
2007-bxm,C12,C,12,122.3,12.24,463.9,-16.01
2007-bxm,CHECK,Z,24,100.5,1.31,394.4,-24.44
2007-bxm,CHECK,Z,24,94.2,1.43,394.5,-24.43
2007-bxm,D1,D,1,103.6,10.60,394.3,-17.05
2007-bxm,D2,D,2,94.1,9.79,352.9,-17.37
2007-bxm,D3,D,3,105.8,11.63,406.7,-16.59
2007-bxm,D4,D,4,97.5,11.65,377.0,-16.66
2007-bxm,D5,D,5,137.1,13.81,522.8,-16.87
2007-bxm,D6,D,6,124.0,13.40,462.1,-16.59
2007-bxm,D7,D,7,102.9,12.58,379.8,-16.43
2007-bxm,D8,D,8,126.1,13.09,469.5,-17.12
2007-bxm,D9,D,9,100.9,13.60,375.3,-16.59
2007-bxm,D10,D,10,99.5,13.28,370.8,-16.63
2007-bxm,D11,D,11,117.9,12.37,437.7,-16.69
2007-bxm,D12,D,12,89.1,11.84,342.8,-17.34
2007-bxm,CHECK,Z,25,101.3,1.32,389.6,-24.44
2007-bxm,CHECK,Z,25,101.3,0.99,403.4,-24.48
2007-bxm,E1,E,1,111.6,13.66,409.5,-16.52
2007-bxm,E2,E,2,104.0,12.83,392.1,-16.68
2007-bxm,E3,E,3,119.4,12.34,443.0,-17.29
2007-bxm,E4,E,4,140.8,12.21,515.3,-16.98
2007-bxm,E5,E,5,115.4,12.81,429.2,-16.42
2007-bxm,E6,E,6,103.4,12.01,382.3,-17.98
2007-bxm,E7,E,7,107.9,10.71,413.1,-18.06
2007-bxm,E8,E,8,130.5,11.49,480.5,-16.74
2007-bxm,E9,E,9,104.9,11.48,387.8,-16.81
2007-bxm,E10,E,10,113.3,11.67,417.1,-16.61
2007-bxm,E11,E,11,109.1,10.72,401.6,-16.95
2007-bxm,E12,E,12,111.0,10.06,402.0,-17.55
2007-bxm,CHECK,Z,26,102.4,1.16,429.6,-24.43
2007-bxm,CHECK,Z,26,100.3,1.26,295.1,-24.45
2007-bxm,F1,F,1,141.5,11.56,513.5,-16.51
2007-bxm,F2,F,2,110.6,10.29,411.7,-17.54
2007-bxm,F3,F,3,138.1,11.26,504.2,-16.99
2007-bxm,F4,F,4,116.6,11.22,430.7,-16.92
2007-bxm,F5,F,5,114.7,10.22,424.1,-17.49
2007-bxm,F6,F,6,109.4,11.15,402.4,-16.65
2007-bxm,F7,F,7,118.2,9.62,441.7,-17.28
2007-bxm,F8,F,8,101.6,11.39,378.3,-16.63
2007-bxm,F9,F,9,115.5,10.46,415.7,-17.06
2007-bxm,F10,F,10,93.7,10.76,346.0,-16.91
2007-bxm,F11,F,11,95.0,9.55,350.0,-17.49
2007-bxm,F12,F,12,93.9,10.06,344.6,-17.22
2007-bxm,CHECK,Z,27,101.9,1.25,497.9,-24.40
2007-bxm,CHECK,Z,27,102.7,1.57,397.2,-24.47
2007-bxm,G1,G,1,109.0,9.55,398.9,-17.29
2007-bxm,G2,G,2,124.6,9.65,454.0,-17.24
2007-bxm,G3,G,3,103.8,10.56,384.0,-17.13
2007-bxm,G4,G,4,121.4,10.90,446.3,-16.92
2007-bxm,G5,G,5,102.6,11.08,370.2,-16.97
2007-bxm,G6,G,6,115.4,12.76,415.6,-15.27
2007-bxm,G7,G,7,134.5,12.80,478.1,-15.79
2007-bxm,G8,G,8,119.2,12.72,432.5,-15.52
2007-bxm,G9,G,9,131.3,13.10,461.1,-15.32
2007-bxm,G10,G,10,113.9,12.07,403.3,-14.37
2007-bxm,G11,G,11,123.1,12.91,431.3,-14.62
2007-bxm,G12,G,12,64.6,12.76,230.8,-14.73
2007-bxm,CHECK,Z,28,96.4,1.39,395.3,-24.43
2007-bxm,CHECK14,Z,28,103.0,1.37,391.3,-24.42
2007-bxm,H1,H,1,114.4,12.56,401.5,-15.37
2007-bxm,H2,H,2,107.0,13.14,372.5,-14.93
2007-bxm,H3,H,3,131.5,12.80,464.7,-14.49
2007-bxm,H4,H,4,102.9,12.46,360.0,-14.44
2007-bxm,H5,H,5,147.5,12.38,513.1,-14.23
2007-bxm,H6,H,6,114.4,13.02,400.5,-13.98
2007-bxm,H7,H,7,132.1,12.31,460.0,-14.34
2007-bxm,H8,H,8,113.8,12.83,409.8,-15.64
2007-bxm,H9,H,9,114.4,11.68,411.7,-16.95
