x Vial present ( - put aside),Combined with other samples, Foil ID , Site , Date Collected , Species , Individ , Height/ Length/ Carapace width , Width/ Dactyl length , Aperture diameter , Wet weight w/ Shell , Shell weight , Tissue w/ operc weight/ Plates w/ mantle , Operculum/ Mantle weight , Wet sample weight , Oven Start Date & Time  , Time spent in Freezer (days) , Oven End Date & Time , Time spent in Oven (days) , Notes 
x,Aa2,131,Tauranga Head,7/2/2004,Austrolittorina antipodum,23,7.0,4.5,3.7,0.088,0.068,*,*,0.004,7/21/2004 15:46,19.7,7/27/2004 14:53,6.0
x,Aa2,130,Tauranga Head,7/2/2004,Austrolittorina antipodum,24,7.2,4.3,3.7,0.093,0.075,*,*,0.004,7/21/2004 15:48,19.7,7/27/2004 13:40,5.9
x,Aa5,164,Tauranga Head,7/2/2004,Austrolittorina antipodum,25,6.6,5.0,4.1,0.084,0.054,*,*,0.006,7/21/2004 15:51,19.7,7/27/2004 14:00,5.9
x,Ac2,161,Tauranga Head,7/2/2004,Austrolittorina cincta,1,11.1,7.6,6.2,0.350,0.246,*,*,0.020,7/21/2004 13:00,19.5,7/27/2004 14:12,6.1
x,Ac2,163,Tauranga Head,7/2/2004,Austrolittorina cincta,2,11.8,8.0,6.4,0.390,0.291,*,*,0.013,7/21/2004 13:04,19.5,7/27/2004 14:00,6.0,
x,Ac2,162,Tauranga Head,7/2/2004,Austrolittorina cincta,3,12.0,8.3,6.5,0.442,0.355,*,*,0.017,7/21/2004 13:09,19.5,7/27/2004 14:00,6.0,
x,Ac2,159,Tauranga Head,7/2/2004,Austrolittorina cincta,4,10.3,6.8,6.0,0.283,0.208,*,*,0.013,7/21/2004 13:12,19.6,7/27/2004 14:06,6.0,
x,Ac2,160,Tauranga Head,7/2/2004,Austrolittorina cincta,5,12.5,7.9,6.9,0.449,0.339,*,*,0.020,7/21/2004 13:14,19.6,7/27/2004 13:40,6.0,
x,Ac1,155,Tauranga Head,7/2/2004,Austrolittorina cincta,6,8.3,5.8,4.7,0.178,0.129,*,*,0.010,7/21/2004 13:22,19.6,7/27/2004 13:40,6.0,
x,Ac1,157,Tauranga Head,7/2/2004,Austrolittorina cincta,7,9.7,6.7,5.7,0.236,0.174,*,*,0.015,7/21/2004 13:26,19.6,7/27/2004 13:40,6.0,
x,Ac1,156,Tauranga Head,7/2/2004,Austrolittorina cincta,8,8.6,5.6,4.3,0.160,0.112,*,*,0.008,7/21/2004 13:30,19.6,7/27/2004 14:47,6.1,
x,Ac1,158,Tauranga Head,7/2/2004,Austrolittorina cincta,9,9.9,6.9,5.7,0.265,0.195,*,*,0.019,7/21/2004 13:36,19.6,7/27/2004 13:40,6.0,
x,Ac1,154,Tauranga Head,7/2/2004,Austrolittorina cincta,10,10.8,7.5,6.1,0.390,0.298,*,*,0.019,7/21/2004 13:41,19.6,7/27/2004 13:40,6.0,
x,,1604,Tauranga Head,7/24/2005,Benhamina obliquata,1,15.5,11.8,*,0.680,0.239,0.422,*,0.156,8/9/2005 13:50,,8/16/2005 13:00,,
x,,1628,Tauranga Head,7/24/2005,Benhamina obliquata,2,17.8,12.2,*,0.721,0.235,0.462,*,0.186,8/9/2005 13:50,,8/16/2005 13:00,,
x,,1627,Tauranga Head,7/24/2005,Benhamina obliquata,3,18.2,13.5,*,0.863,0.365,0.448,*,0.157,8/9/2005 13:50,,8/16/2005 13:00,,
x,,1602,Tauranga Head,7/24/2005,Benhamina obliquata,4,15.1,9.7,*,0.383,0.141,0.228,*,0.084,8/9/2005 13:50,,8/16/2005 13:00,,may be foil # 1662
x,,1597,Tauranga Head,7/24/2005,Benhamina obliquata,5,12.1,9.6,*,0.305,0.088,*,*,0.060,8/9/2005 13:50,,8/16/2005 13:00,,
