Predators.SpeciesName,PredSize,PreySize,IndexSpecies.SpeciesName,Site,FocusSite
Haustrum haustorium,27,14,Cellana denticulata,Rakautara,TRUE
Haustrum haustorium,25,8,Cellana denticulata,Rakautara,TRUE
Haustrum haustorium,47,29,Cellana denticulata,Rakautara,TRUE
Haustrum haustorium,38,20,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,42,13,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,47,12,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,42,18,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,39,12,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,32,17,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,43,10,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,38,17,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,35,15,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,38,19,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,38,13,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,41,14,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,34,14,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,35,10,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,31,14,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,43,15,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,33,14,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,43,21,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,34,18,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,44,20,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,28,14,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,38,22,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,32,18,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,43,17,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,45,18,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,38,14,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,38,11,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,42,13,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,41,16,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,42,15,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,42,16,Cellana ornata,CapeFoulwind,TRUE
Haustrum haustorium,41,14,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,46,26,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,35,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,38,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,42,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,36,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,36,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,38,10,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,36,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,35,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,10,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,27,10,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,39,17,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,37,15,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,40,10,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,37,14,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,35,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,30,8,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,34,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,31,9,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,41,15,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,38,14,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,33,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,31,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,41,19,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,31,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,41,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,31,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,41,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,25,8,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,33,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,44,16,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,33,14,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,34,10,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,43,17,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,36,16,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,39,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,10,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,34,15,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,38,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,33,14,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,36,15,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,8,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,41,9,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,42,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,41,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,39,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,37,7,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,31,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,35,16,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,35,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,30,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,44,19,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,34,16,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,27,10,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,29,10,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,37,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,30,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,33,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,45,15,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,33,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,42,16,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,41,16,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,44,17,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,30,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,35,14,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,41,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,37,15,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,35,10,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,51,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,31,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,17,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,38,17,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,38,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,36,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,21,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,35,17,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,31,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,43,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,41,15,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,34,7,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,32,13,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,38,15,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,39,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,40,9,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,41,20,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,38,14,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,37,11,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,40,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,40,10,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,45,20,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,37,10,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,27,12,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,30,9,Cellana ornata,JacksonHead,TRUE
Haustrum haustorium,31,13,Cellana ornata,JacksonHead,TRUE
