SpeciesName,AnalysisGroup,AnalysisGroup2,AnalysisGroup3,IGgroup,IGgroupHigh,IGgroupMid,IGgroupLow,Phylum,Class,Subclass,Infraclass,Superorder,Order,Suborder,Infraorder,Superfamily,Family,Subfamily,Genus
Diloma zelandica,Other Count,Snail,Dilomid snail,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Vetigastropoda,,,Trochoidea,Trochidae,Trochinae,Diloma
Eatoniella sp,Other Count,Snail,Snail,IGPredPrey,NA,NA,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Neotaenioglossa,,,,Eatoniellidae,,Eatoniella
Epopella plicata,Barnacles,Barnacle - Acorn,Barnacle,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Arthropoda,Maxillopoda,Thecostraca,Cirripedia,Thoracica,Sessilia,,,Balanoidea,Archaeobalanidae,,Epopella
Fossarina rimata,Other Count,Snail,Snail,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Vetigastropoda,,,Trochoidea,Trochidae,,Fossarina
Haustrum haustorium,Haustrum haustorium,Whelk,Whelk,IGPred,IGPred,IGPred,IGPred,Mollusca,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Muricidae,Haustrinae,Haustrum
Haustrum lacunosus,Other Count,Whelk,Whelk,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Muricidae,Haustrinae,Haustrum
Haustrum scobina,Haustrum scobina,Whelk,Whelk,IGPrey,IGPrey,IGPrey,IGPrey,Mollusca,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Muricidae,Haustrinae,Haustrum
Lasaea rubra hinemoa,Other Cover,Bivalve,Other bivalve,IGPreyPrey,NA,IGPreyPrey,IGSharedPrey,Mollusca,Bivalvia,Heterodonta,,,Veneroida,,,,Lasaedae,Lasaeinaez,Lasaea
Margarella sp,Other Count,Snail,Snail,IGPredPrey,IGPredPrey,IGPredPrey,NA,Mollusca,Gastropoda,Prosobranchia,,,Vetigastropoda,,,Trochoidea,Trochidae,Trochinae,Margarella
Montfortula chathamensis,Other Limpets,Limpet - Fissurelid,Other limpet,IGPredPrey,NA,NA,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Vetigastropoda,,,,Fissurellidae,Fissurellinae,
Mytilus galloprovincialis,Mussels,Bivalve - Mussel,Mussel,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Mollusca,Bivalvia,Pteriomorpha,,,Mytiloida,,,,Mytilidae,Mytilinae,Mytilus
Nerita atramentosa,Other Count,Snail,Snail,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Neritopsida,,,,Neritidae,,Nerita
Not Feeding,Other Cover,Substrate,Substrate,NA,NA,NA,NA,,,,,,,,,,,,
Notoacmea 2spokes,Notoacmid limpets,Limpet - Acmid,Notoacmid limpet,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Mollusca,Gastropoda,Prosobranchia,,,Docoglossa,,,,Lottidae,,Notoacmea
Notoacmea Black,Notoacmid limpets,Limpet - Acmid,Notoacmid limpet,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Mollusca,Gastropoda,Prosobranchia,,,Docoglossa,,,,Lottidae,,Notoacmea
Notoacmea daedala,Notoacmid limpets,Limpet - Acmid,Notoacmid limpet,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Mollusca,Gastropoda,Prosobranchia,,,Docoglossa,,,,Lottidae,,Notoacmea
Notoacmea Net,Notoacmid limpets,Limpet - Acmid,Notoacmid limpet,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Mollusca,Gastropoda,Prosobranchia,,,Docoglossa,,,,Lottidae,,Notoacmea
Notoacmea parviconoidea,Notoacmid limpets,Limpet - Acmid,Notoacmid limpet,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Mollusca,Gastropoda,Prosobranchia,,,Docoglossa,,,,Lottidae,,Notoacmea
Notoacmea Radialspokes,Notoacmid limpets,Limpet - Acmid,Notoacmid limpet,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Mollusca,Gastropoda,Prosobranchia,,,Docoglossa,,,,Lottidae,,Notoacmea
Onithochiton neglectus neglectus,Chitons,Chiton,Chiton,IGPredPrey,NA,NA,IGPredPrey,Mollusca,Polyplacophora,Neoloricata,,,Ischnochitonina,,,,Chitonidae,Toniciinae,Onithochiton
Paratrophon patens,Other Count,Whelk,Whelk,IGPredPrey,IGPredPrey,NA,NA,Mollusca,Gastropoda,Prosobranchia,,,Neogastropoda,,,,Muricidae,Muricinae,Paratrophon
Patelloida corticata,Other Limpets,Limpet - Acmid,Notoacmid limpet,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Docoglossa,,,,Lottidae,,Patelloida
Perna canaliculus,Mussels,Bivalve - Mussel,Mussel,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Mollusca,Bivalvia,Pteriomorpha,,,Mytiloida,,,,Mytilidae,Mytilinae,Perna
Plaxiphora caelata,Chitons,Chiton,Chiton,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Polyplacophora,Neoloricata,,,Ischnochitonina,,,,Mopaliidae,,Plaxiphora
Plaxiphora obtecta,Chitons,Chiton,Chiton,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Polyplacophora,Neoloricata,,,Ischnochitonina,,,,Mopaliidae,,Plaxiphora
Risellopsis varia,Other Count,Snail,Snail,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Mollusca,Gastropoda,Prosobranchia,,,Neotaenioglossa,,,,Littorinidae,Lacuninae,Risselopsis
Scavenging,Other Cover,Substrate,Substrate,NA,NA,NA,NA,,,,,,,,,,,,
Siphonaria australis,Other Limpets,Limpet - Pulmonate,Other limpet,IGPredPrey,IGPredPrey,IGSharedPrey,IGSharedPrey,Mollusca,Gastropoda,Pulmonata,,,Basommatophora,,,,Siphonaridae,,Siphonaria
Sypharochiton pelliserpentis,Chitons,Chiton,Chiton,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Polyplacophora,Neoloricata,,,Ischnochitonina,,,,Chitonidae,Chitoninae,Sypharochiton
Thoristella chathamensis,Other Count,Snail,Snail,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Vetigastropoda,,,,Trochidae,,Thoristella
Trimusculus conicus,Other Limpets,Limpet - Pulmonate,Other limpet,IGPredPrey,IGPredPrey,IGPredPrey,NA,Mollusca,Gastropoda,Orthogastropoda,,,Eupulmonata,,,Triumusculoidea,Trimusculidae,,
Turbo smaragdus,Other Count,Snail,Snail,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Vetigastropoda,,,,Turbinidae,Turbininae,Turbo
UNID,UNID,UNID,UNID,NA,NA,NA,NA,,,,,,,,,,,,
UNID Barnacle,UNID,UNID,Barnacle,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Arthropoda,Maxillopoda,Thecostraca,Cirripedia,Thoracica,Sessilia,,,,,,
UNID Chiton,UNID,UNID,Chiton,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Polyplacophora,Neoloricata,,,,,,,,,
UNID Diloma,Other Count,Snail,Dilomid Snail,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Vetigastropoda,,,Trochoidea,Trochidae,Trochinae,Diloma
UNID Limpet,UNID,UNID,Other limpet,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Docoglossa,,,,,,
UNID Notoacmea,Notoacmid limpets,Limpet - Acmid,Notoacmid limpet,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Mollusca,Gastropoda,Prosobranchia,,,Docoglossa,,,,Lottidae,,Notoacmea
UNID Snail,UNID,UNID,Snail,IGPredPrey,IGPredPrey,IGPredPrey,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,,,,,,,
Xenostrobus pulex,Mussels,Bivalve - Mussel,Mussel,IGSharedPrey,IGSharedPreyCore,IGSharedPreyCore,IGSharedPreyCore,Mollusca,Bivalvia,Pteriomorpha,,,Mytiloida,,,,Mytilidae,Modiolinae,Xenostrobus
Zeacumantus subcarinatus,Other Count,Snail,Snail,IGPredPrey,NA,NA,IGPredPrey,Mollusca,Gastropoda,Prosobranchia,,,Neotaenioglossa,,,,Batillariidae,,Zeacumantus
