Site,NZ N-coordinate,SpeciesName,Total of CensusID,Not Feeding,UNID,Acanthochitona zelandica,Atalacmea fragilis,Austrolittorina antipodum,Austrolittorina cincta,Buccinulum sp,Calantica spinosa,Cantharidella tesselata,Cellana denticulata,Cellana ornata,Cellana radians,Chamaesipho brunnea,Chamaesipho columna,Chamaesipho spp,Crassostrea gigas,Dicathais orbita,Diloma aethiops,Diloma arida,Diloma bicanaliculata,Diloma nigerrima,Diloma zelandica,Eatoniella sp,Epopella plicata,Fossarina rimata,Haustrum haustorium,Haustrum lacunosus,Haustrum scobina,Lasaea rubra hinemoa,Margarella sp,Montfortula chathamensis,Mytilus galloprovincialis,Nerita atramentosa,Notoacmea 2spokes,Notoacmea Black,Notoacmea daedala,Notoacmea Net,Notoacmea Radialspokes,Onithochiton neglectus neglectus,Paratrophon patens,Patelloida corticata,Plaxiphora caelata,Plaxiphora obtecta,Risellopsis varia,Siphonaria australis,Sypharochiton pelliserpentis,Thoristella chathamensis,Trimusculus conicus,Turbo smaragdus,UNID Barnacle,UNID Chiton,UNID Diloma,UNID Limpet,UNID Notoacmea,UNID Snail,Xenostrobus pulex,Zeacumantus subcarinatus
TaurangaBayNorth,5936796,Haustrum haustorium,25,19,,,,,,,,,,,1,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,
TaurangaHead,5935850,Haustrum haustorium,4747,4080,7,,,,,,1,18,,4,1,,120,,,,3,3,5,4,,,2,,,,164,,7,,1,,1,3,,1,20,,9,77,71,1,4,71,11,,,3,,,,,1,,54
TaurangaHeadWest,5935555,Haustrum haustorium,192,180,,,,,,,,,,,1,,,,,,2,,,,,,,,,,3,,,,,,,,,,,,,1,,,,,,,4,,,,,,,1,,
TaurangaHeadSouthBoulders,5935526,Haustrum haustorium,8,6,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TaurangaHeadSWcorner,5935514,Haustrum haustorium,23,11,,,,,,,,,,,1,,,,,,1,,1,,,,,,,,2,,,,5,,,,,,,,,,,,,1,,,,1,,,,,,,,
WardBeach,5928089,Haustrum haustorium,12,11,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CharlestonJoyceBay,5921552,Haustrum haustorium,110,106,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,,,,,,,,,,,
Rakautara,5882637,Haustrum haustorium,3898,3592,3,2,,1,2,,1,,11,41,5,1,38,,,,3,,,,,,1,,1,1,4,,,,,,,,1,,2,5,,110,1,,13,43,8,,,5,,,,,1,,,2
MemorialGardenRocks,5866764,Haustrum haustorium,1071,1040,1,,,,,,,1,1,2,,,1,,,,5,,,2,,,,,,,,,,,,,,,,,,,,,,,1,14,2,,,,,,,,,,,1
WhakatuPoint,5865651,Haustrum haustorium,19,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EPFSLabRocks,5865540,Haustrum haustorium,99,55,,,,,,,,,1,,,,1,,,,14,,,,,,,,,,,,2,,,,,,1,,,,,1,,,,9,,,,6,,,,,1,,,8
AvocaPointNorth,5865446,Haustrum haustorium,53,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,
AvocaPointSouth,5865446,Haustrum haustorium,1,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LighthouseReef,5864581,Haustrum haustorium,15,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,1
FirstBay,5864336,Haustrum haustorium,262,247,,,,,,,,1,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,2,1,,1,2,4,,,1,,,,,,,,
LimestoneBayPoint,5864282,Haustrum haustorium,352,338,,,,,,,,,,1,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,1,,,,,,,,,,,7
Whaler'sBay,5863739,Haustrum haustorium,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SharksTooth,5863657,Haustrum haustorium,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ParititahiTunnelSouth2,5861983,Haustrum haustorium,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,
ParititahiTunnelSouth,5861928,Haustrum haustorium,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Intertunnel-North,5861690,Haustrum haustorium,35,29,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,2,,,,,,
Intertunnel-South,5861550,Haustrum haustorium,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,
Raramai,5860822,Haustrum haustorium,44,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DuffsKnobNorth,5860341,Haustrum haustorium,40,38,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DuffsKnobSouth(KieKieRecreationReserve),5859738,Haustrum haustorium,429,418,,,,,,,,,1,,,,2,,,,2,,,,,,,,,,,,,,,,,,,,,1,,,1,,,4,,,,,,,,,,,,
PaiaPoint,5859204,Haustrum haustorium,5349,4833,2,2,1,2,6,,1,8,24,19,3,10,181,,,,6,,,1,,10,5,,7,1,5,3,,1,3,,,,,,3,12,,36,5,1,80,67,2,1,,2,,,,,,,4,2
OtumatuRock,5858017,Haustrum haustorium,9,7,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OaroMid,5853711,Haustrum haustorium,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OaroSouth,5853593,Haustrum haustorium,59,57,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JacksonHeadNW,5685027,Haustrum haustorium,6,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JacksonHead,5684298,Haustrum haustorium,3194,2926,,,,,,1,,,,117,2,,3,,,,5,,,,,,1,,,,8,,1,,1,,,,1,,,,,95,6,2,1,12,,,,11,,,,,,,1,
OkahuPoint,5684243,Haustrum haustorium,2987,2700,1,,,,,,,2,,76,4,,5,,,,6,3,4,1,,,,,,,7,,,,,,,,1,,,,,135,4,1,3,16,2,,1,12,,,,,,,3,
Smoothwater Bay South,5683285,Haustrum haustorium,7,,,,,,,,,,,,,,,,,,1,3,,1,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,
