CensusID,Site,TimeStart,TimeEnd,Expr1,SpeciesName
490,PaiaPoint,8:41,9:44,63,Haustrum haustorium
524,Rakautara,15:25,16:28,63,Haustrum scobina
465,TaurangaHead,22:02,23:04,62,Haustrum haustorium
363,TaurangaHead,14:03,15:05,62,Haustrum haustorium
648,JacksonHead,15:24,16:26,62,Haustrum scobina
747,JacksonHead,6:38,7:40,62,Haustrum haustorium
363,TaurangaHead,14:03,15:05,62,Paratrophon patens
825,PaiaPoint,16:21,17:23,62,Haustrum haustorium
191,CapeFoulwind,15:17,16:18,61,Haustrum haustorium
326,TaurangaHead,14:30,15:31,61,Haustrum haustorium
191,CapeFoulwind,15:17,16:18,61,Cominella maculosa
191,CapeFoulwind,15:17,16:18,61,Buccinulum sp
552,OkahuPoint,17:19,18:20,61,Haustrum scobina
330,TaurangaHead,15:34,16:35,61,Paratrophon patens
330,TaurangaHead,15:34,16:35,61,Haustrum scobina
654,JacksonHead,16:18,17:19,61,Haustrum haustorium
729,OkahuPoint,17:23,18:23,60,Haustrum haustorium
382,PaiaPoint,15:15,16:15,60,Haustrum haustorium
196,TaurangaHead,3:04,4:04,60,Haustrum scobina
196,TaurangaHead,3:04,4:04,60,Cominella maculosa
196,TaurangaHead,3:04,4:04,60,Paratrophon patens
196,TaurangaHead,3:04,4:04,60,Haustrum haustorium
320,PaiaPoint,9:15,10:15,60,Haustrum lacunosus
404,Rakautara,7:20,8:20,60,Haustrum lacunosus
404,Rakautara,7:20,8:20,60,Dicathais orbita
320,PaiaPoint,9:15,10:15,60,Haustrum haustorium
320,PaiaPoint,9:15,10:15,60,Buccinulum sp
404,Rakautara,7:20,8:20,60,Haustrum haustorium
197,TaurangaHead,4:05,5:04,59,Cominella maculosa
197,TaurangaHead,4:05,5:04,59,Paratrophon patens
197,TaurangaHead,4:05,5:04,59,Haustrum haustorium
803,JacksonHead,15:47,16:46,59,Haustrum haustorium
608,Rakautara,12:17,13:15,58,Haustrum haustorium
748,OkahuPoint,7:56,8:54,58,Haustrum haustorium
407,PaiaPoint,7:20,8:18,58,Haustrum haustorium
638,PaiaPoint,9:57,10:55,58,Haustrum haustorium
592,TaurangaHead,17:09,18:07,58,Haustrum haustorium
658,OkahuPoint,17:12,18:10,58,Haustrum scobina
592,TaurangaHead,17:09,18:07,58,Buccinulum sp
772,PaiaPoint,18:09,19:07,58,Haustrum haustorium
407,PaiaPoint,7:20,8:18,58,Haustrum lacunosus
347,PaiaPoint,17:28,18:25,57,Haustrum haustorium
331,TaurangaHead,16:48,17:45,57,Paratrophon patens
331,TaurangaHead,16:48,17:45,57,Haustrum haustorium
347,PaiaPoint,17:28,18:25,57,Haustrum lacunosus
347,PaiaPoint,17:28,18:25,57,Buccinulum sp
331,TaurangaHead,16:48,17:45,57,Buccinulum sp
520,Rakautara,14:01,14:58,57,Haustrum scobina
780,PaiaPoint,20:11,21:08,57,Haustrum haustorium
587,CapeFoulwind,16:19,17:16,57,Paratrophon patens
383,PaiaPoint,16:18,17:15,57,Haustrum haustorium
587,CapeFoulwind,16:19,17:16,57,Buccinulum sp
383,PaiaPoint,16:18,17:15,57,Haustrum lacunosus
587,CapeFoulwind,16:19,17:16,57,Haustrum haustorium
657,OkahuPoint,6:49,7:45,56,Haustrum scobina
806,OkahuPoint,14:40,15:36,56,Haustrum haustorium
364,TaurangaHead,15:20,16:15,55,Haustrum haustorium
797,OkahuPoint,12:59,13:54,55,Haustrum scobina
364,TaurangaHead,15:20,16:15,55,Dicathais orbita
364,TaurangaHead,15:20,16:15,55,Buccinulum sp
364,TaurangaHead,15:20,16:15,55,Paratrophon patens
617,Rakautara,7:10,8:05,55,Dicathais orbita
617,Rakautara,7:10,8:05,55,Haustrum haustorium
513,PaiaPoint,12:33,13:28,55,Cominella maculosa
513,PaiaPoint,12:33,13:28,55,Haustrum haustorium
508,PaiaPoint,10:51,11:46,55,Haustrum scobina
791,TaurangaHead,16:07,17:01,54,Haustrum haustorium
727,OkahuPoint,14:36,15:30,54,Haustrum scobina
792,JacksonHead,12:10,13:04,54,Haustrum haustorium
567,JacksonHead,8:52,9:46,54,Haustrum haustorium
379,Rakautara,15:00,15:54,54,Buccinulum sp
603,TaurangaHead,8:29,9:23,54,Haustrum haustorium
379,Rakautara,15:00,15:54,54,Dicathais orbita
379,Rakautara,15:00,15:54,54,Haustrum lacunosus
509,PaiaPoint,12:00,12:54,54,Haustrum haustorium
379,Rakautara,15:00,15:54,54,Haustrum haustorium
494,PaiaPoint,19:13,20:07,54,Haustrum lacunosus
802,JacksonHead,14:49,15:43,54,Haustrum haustorium
494,PaiaPoint,19:13,20:07,54,Haustrum haustorium
647,JacksonHead,14:30,15:23,53,Haustrum scobina
705,TaurangaHead,8:42,9:35,53,Haustrum haustorium
705,TaurangaHead,8:42,9:35,53,Paratrophon patens
563,OkahuPoint,21:27,22:20,53,Haustrum scobina
574,OkahuPoint,22:12,23:05,53,Haustrum haustorium
679,Rakautara,8:09,9:02,53,Haustrum haustorium
574,OkahuPoint,22:12,23:05,53,Haustrum lacunosus
653,JacksonHead,15:17,16:09,52,Haustrum scobina
628,Rakautara,8:45,9:37,52,Dicathais orbita
628,Rakautara,8:45,9:37,52,Haustrum haustorium
604,Rakautara,9:28,10:20,52,Haustrum scobina
790,TaurangaHead,14:57,15:49,52,Haustrum haustorium
630,Rakautara,8:58,9:50,52,Haustrum haustorium
790,TaurangaHead,14:57,15:49,52,Buccinulum sp
723,JacksonHead,15:55,16:47,52,Haustrum lacunosus
694,PaiaPoint,22:25,23:17,52,Haustrum haustorium
630,Rakautara,8:58,9:50,52,Dicathais orbita
694,PaiaPoint,22:25,23:17,52,Cominella maculosa
421,Rakautara,8:38,9:30,52,Haustrum scobina
723,JacksonHead,15:55,16:47,52,Haustrum haustorium
632,Rakautara,10:21,11:12,51,Haustrum haustorium
669,JacksonHead,20:07,20:58,51,Haustrum haustorium
536,OkahuPoint,17:58,18:49,51,Haustrum lacunosus
395,PaiaPoint,12:00,12:51,51,Haustrum scobina
669,JacksonHead,20:07,20:58,51,Buccinulum sp
380,Rakautara,16:01,16:52,51,Haustrum haustorium
522,Rakautara,15:38,16:29,51,Haustrum haustorium
761,OkahuPoint,20:54,21:45,51,Haustrum haustorium
536,OkahuPoint,17:58,18:49,51,Haustrum haustorium
536,OkahuPoint,17:58,18:49,51,Buccinulum sp
308,TaurangaHead,5:30,6:20,50,Haustrum haustorium
624,PaiaPoint,7:02,7:52,50,Haustrum haustorium
473,CapeFoulwind,10:00,10:50,50,Haustrum scobina
621,PaiaPoint,19:25,20:15,50,Haustrum haustorium
663,JacksonHead,19:19,20:09,50,Buccinulum sp
507,Rakautara,11:22,12:12,50,Haustrum haustorium
576,CapeFoulwind,13:08,13:58,50,Haustrum haustorium
663,JacksonHead,19:19,20:09,50,Haustrum haustorium
449,CapeFoulwind,18:00,18:50,50,Paratrophon patens
387,Rakautara,8:13,9:03,50,Haustrum haustorium
387,Rakautara,8:13,9:03,50,Dicathais orbita
576,CapeFoulwind,13:08,13:58,50,Paratrophon patens
449,CapeFoulwind,18:00,18:50,50,Haustrum haustorium
507,Rakautara,11:22,12:12,50,Dicathais orbita
387,Rakautara,8:13,9:03,50,Haustrum lacunosus
663,JacksonHead,19:19,20:09,50,Haustrum lacunosus
621,PaiaPoint,19:25,20:15,50,Buccinulum sp
507,Rakautara,11:22,12:12,50,Buccinulum sp
751,OkahuPoint,18:09,18:58,49,Haustrum scobina
498,Rakautara,20:23,21:12,49,Haustrum haustorium
553,OkahuPoint,18:25,19:14,49,Haustrum haustorium
828,Rakautara,17:13,18:02,49,Haustrum haustorium
595,CapeFoulwind,18:26,19:15,49,Paratrophon patens
595,CapeFoulwind,18:26,19:15,49,Haustrum haustorium
448,CapeFoulwind,17:10,17:59,49,Haustrum haustorium
448,CapeFoulwind,17:10,17:59,49,Paratrophon patens
795,JacksonHead,14:58,15:47,49,Haustrum haustorium
764,JacksonHead,8:17,9:06,49,Haustrum haustorium
782,CapeFoulwind,11:35,12:23,48,Haustrum scobina
665,OkahuPoint,21:58,22:46,48,Haustrum haustorium
